no,name,kor,eng,math,total,avg,rank,sdate
116,Laura,76,78,72,226,75.3333333333,92,2024-08-26
117,Zorana,80,19,71,170,56.6666666667,81,2024-02-04
118,Paola,70,51,96,217,72.3333333333,52,2024-02-09
119,Miriam,92,97,11,200,66.6666666667,3,2024-03-20
120,Judd,67,24,41,132,44,58,2024-10-31
121,Ellissa,92,13,17,122,40.6666666667,5,2024-01-22
122,Clint,82,20,43,145,48.3333333333,22,2024-05-08
123,Noemi,92,93,47,232,77.3333333333,43,2024-05-08
124,Felicity,79,86,34,199,66.3333333333,23,2024-03-16
125,Jethro,64,24,41,129,43,18,2024-09-26
126,Auberta,46,9,19,74,24.6666666667,7,2023-12-05
127,Drugi,35,13,41,89,29.6666666667,1,2024-08-28
128,Gil,16,99,39,154,51.3333333333,84,2024-09-20
129,Pebrook,69,77,72,218,72.6666666667,54,2024-08-12
130,Kerr,43,28,23,94,31.3333333333,86,2023-11-08
131,Vina,21,65,8,94,31.3333333333,60,2023-12-31
132,Genevieve,17,95,11,123,41,68,2024-06-21
133,Marcel,93,60,9,162,54,59,2024-05-03
134,Sheelah,98,49,68,215,71.6666666667,60,2024-02-18
135,Em,12,3,45,60,20,54,2024-08-31
136,Parsifal,26,27,16,69,23,98,2024-08-28
137,Stan,14,87,20,121,40.3333333333,15,2024-05-09
138,Rafaellle,82,69,18,169,56.3333333333,87,2024-01-23
139,Gilligan,95,26,64,185,61.6666666667,9,2024-07-30
140,Cirillo,40,56,72,168,56,93,2024-08-23
141,Janessa,14,67,32,113,37.6666666667,39,2024-10-02
142,Shaun,48,29,93,170,56.6666666667,73,2023-12-30
143,Elmo,65,74,15,154,51.3333333333,51,2024-04-07
144,Ase,39,82,41,162,54,65,2023-12-27
145,Hart,84,28,55,167,55.6666666667,30,2023-11-07
146,Ruddy,36,38,82,156,52,28,2023-11-30
147,Riordan,95,98,80,273,91,80,2024-11-05
148,Tucker,82,50,2,134,44.6666666667,70,2024-09-23
149,Alleen,83,98,89,270,90,38,2024-09-11
150,Hedwiga,32,76,70,178,59.3333333333,95,2024-10-04
151,Luelle,45,10,13,68,22.6666666667,45,2023-12-10
152,Hirsch,21,36,42,99,33,35,2024-03-15
153,Pincus,64,77,20,161,53.6666666667,29,2024-08-05
154,Ody,90,79,80,249,83,53,2024-03-02
155,Caesar,85,40,97,222,74,47,2024-05-02
156,Kathy,75,63,38,176,58.6666666667,9,2024-01-09
157,Silvain,78,26,74,178,59.3333333333,63,2024-04-23
158,Edan,48,62,12,122,40.6666666667,34,2024-04-06
159,Ingamar,65,93,48,206,68.6666666667,28,2024-08-10
160,Helaine,73,94,59,226,75.3333333333,20,2023-11-11
161,Mada,40,5,53,98,32.6666666667,31,2023-11-10
162,Byram,41,50,89,180,60,10,2024-01-03
163,Dawn,87,21,14,122,40.6666666667,13,2024-01-14
164,Clemmie,43,83,78,204,68,95,2024-07-31
165,Cloris,81,12,82,175,58.3333333333,84,2024-05-26
166,Jenda,83,55,52,190,63.3333333333,51,2024-09-28
167,Wynne,1,54,95,150,50,19,2024-10-25
168,Inglebert,35,92,89,216,72,52,2023-11-11
169,Clarinda,13,96,81,190,63.3333333333,100,2024-06-21
170,Douglass,60,31,48,139,46.3333333333,96,2024-05-22
171,Ellary,61,15,79,155,51.6666666667,6,2024-07-11
172,Mireielle,62,57,29,148,49.3333333333,38,2023-12-31
173,Mora,15,59,86,160,53.3333333333,17,2024-04-06
174,Nilson,99,60,79,238,79.3333333333,86,2024-07-18
175,Lowe,85,96,4,185,61.6666666667,13,2024-10-06
176,Nikaniki,18,37,23,78,26,90,2024-06-22
177,Roselle,66,34,73,173,57.6666666667,80,2024-01-27
178,Cathi,83,72,23,178,59.3333333333,86,2024-08-28
179,Winni,33,74,31,138,46,57,2024-06-20
180,Denni,29,31,11,71,23.6666666667,60,2024-10-13
181,Florian,15,52,50,117,39,66,2024-06-12
182,Cassy,67,69,21,157,52.3333333333,67,2024-02-02
183,Ossie,7,60,84,151,50.3333333333,88,2024-09-07
184,Linus,11,28,83,122,40.6666666667,83,2023-12-10
185,Stearn,73,14,66,153,51,20,2024-07-30
186,Chere,15,29,3,47,15.6666666667,26,2024-10-21
187,Marita,18,26,40,84,28,27,2024-01-06
188,Stefano,93,17,2,112,37.3333333333,3,2024-04-02
189,Caria,61,67,12,140,46.6666666667,11,2024-08-04
190,Porty,48,63,42,153,51,72,2024-06-20
191,Corabella,89,4,19,112,37.3333333333,34,2023-12-13
192,Verile,89,53,52,194,64.6666666667,65,2024-10-25
193,Therine,64,95,11,170,56.6666666667,69,2023-11-08
194,Libbi,71,97,28,196,65.3333333333,50,2023-12-19
195,Annissa,39,10,22,71,23.6666666667,52,2023-12-10
196,Berton,56,66,82,204,68,10,2024-04-23
197,Spenser,69,32,64,165,55,93,2024-05-21
198,Jocelyn,2,85,21,108,36,27,2023-12-10
199,Vaughan,30,86,69,185,61.6666666667,19,2024-05-13
200,Ase,34,79,7,120,40,22,2024-04-11
201,Shalne,77,81,21,179,59.6666666667,46,2024-02-11
202,Otho,4,35,62,101,33.6666666667,24,2024-02-22
203,Cecilio,42,56,12,110,36.6666666667,10,2024-04-03
204,Ignace,70,50,61,181,60.3333333333,38,2024-08-14
205,Abbi,83,62,44,189,63,17,2024-09-18
206,Amandie,48,15,33,96,32,82,2024-10-25
207,Carissa,79,40,93,212,70.6666666667,48,2024-08-27
208,Richie,52,68,15,135,45,61,2024-10-24
209,William,82,47,31,160,53.3333333333,15,2024-01-23
210,Louis,74,94,13,181,60.3333333333,98,2024-06-06
211,Rickert,35,29,78,142,47.3333333333,89,2024-05-12
212,Cristobal,79,3,25,107,35.6666666667,74,2024-02-28
213,Jacob,90,87,10,187,62.3333333333,17,2024-04-08
214,Harbert,20,29,15,64,21.3333333333,72,2024-08-19
215,Chere,56,96,64,216,72,17,2023-12-20
216,Winonah,47,51,66,164,54.6666666667,88,2024-09-24
217,Michel,21,99,79,199,66.3333333333,66,2024-06-03
218,Lana,94,21,76,191,63.6666666667,67,2023-12-30
219,Blane,100,99,36,235,78.3333333333,34,2024-08-04
220,Kennett,69,33,22,124,41.3333333333,54,2024-02-05
221,Delphinia,12,32,93,137,45.6666666667,33,2024-11-03
222,Babbie,52,62,7,121,40.3333333333,67,2024-08-07
223,Itch,94,43,55,192,64,8,2024-07-18
224,Wendell,17,70,77,164,54.6666666667,92,2024-09-17
225,Kaleena,47,10,54,111,37,25,2024-01-31
226,Emeline,74,16,75,165,55,100,2024-03-23
227,Adair,1,3,61,65,21.6666666667,28,2024-07-17
228,Cad,50,34,10,94,31.3333333333,32,2024-10-13
229,Ricky,19,26,23,68,22.6666666667,35,2024-05-29
230,Nora,71,41,16,128,42.6666666667,70,2024-07-10
231,Damiano,59,87,90,236,78.6666666667,88,2024-06-21
232,Chrissy,37,7,26,70,23.3333333333,22,2023-11-30
233,Fredek,95,72,32,199,66.3333333333,67,2024-11-03
234,Alonzo,31,9,39,79,26.3333333333,83,2024-06-27
235,Tabbie,59,98,73,230,76.6666666667,28,2024-03-19
236,Reggie,84,15,7,106,35.3333333333,57,2024-03-18
237,Ruthanne,74,95,37,206,68.6666666667,50,2024-04-23
238,Markos,83,7,86,176,58.6666666667,16,2024-10-17
239,Sue,44,1,34,79,26.3333333333,63,2024-07-22
240,Coralyn,21,58,14,93,31,28,2024-03-25
241,Desmond,70,61,75,206,68.6666666667,14,2024-07-22
242,Foss,25,78,71,174,58,92,2024-07-20
243,Barris,64,22,8,94,31.3333333333,91,2024-06-08
244,Bert,31,16,29,76,25.3333333333,32,2024-05-22
245,Carmencita,93,64,70,227,75.6666666667,36,2023-12-06
246,Inga,67,29,27,123,41,88,2023-11-17
247,Chelsie,65,40,36,141,47,29,2024-02-06
248,Geralda,61,30,13,104,34.6666666667,26,2024-11-06
249,Ellsworth,16,37,85,138,46,83,2024-07-15
250,Lori,66,68,29,163,54.3333333333,74,2024-09-02
251,Koralle,15,88,9,112,37.3333333333,18,2024-07-18
252,Norrie,63,90,20,173,57.6666666667,79,2024-10-27
253,Coleman,43,3,9,55,18.3333333333,66,2024-06-16
254,Moyna,24,32,57,113,37.6666666667,77,2024-09-04
255,Andy,10,76,6,92,30.6666666667,70,2024-07-21
256,Mord,59,21,86,166,55.3333333333,47,2024-04-20
257,Colman,72,50,31,153,51,12,2023-12-31
258,Devan,85,93,13,191,63.6666666667,32,2024-09-15
259,Germana,51,18,19,88,29.3333333333,5,2024-03-05
260,Yvon,41,87,21,149,49.6666666667,48,2024-11-01
261,Vilhelmina,95,70,75,240,80,48,2024-04-14
262,Mariele,75,90,20,185,61.6666666667,3,2024-01-27
263,Sue,85,81,83,249,83,66,2023-11-17
264,Jo-ann,17,31,100,148,49.3333333333,79,2024-09-30
265,Wallace,83,14,23,120,40,82,2024-05-04
266,Rik,36,29,100,165,55,61,2024-02-01
267,Honey,30,91,5,126,42,51,2024-09-03
268,Burlie,45,30,82,157,52.3333333333,53,2024-07-28
269,Eada,57,67,71,195,65,91,2024-03-13
270,Emmey,51,46,51,148,49.3333333333,33,2024-02-24
271,Saidee,49,10,54,113,37.6666666667,6,2023-12-01
272,Mendy,7,40,70,117,39,17,2024-06-18
273,Tobe,24,97,40,161,53.6666666667,85,2024-02-06
274,Ermentrude,58,92,83,233,77.6666666667,36,2024-09-01
275,Christen,84,40,80,204,68,45,2024-04-06
276,Rodie,4,3,20,27,9,5,2024-05-26
277,Dugald,70,32,44,146,48.6666666667,63,2024-01-13
278,Derick,81,70,39,190,63.3333333333,10,2024-08-09
279,Kessiah,21,1,28,50,16.6666666667,18,2023-12-10
280,Felice,14,21,63,98,32.6666666667,71,2024-11-01
281,Towney,26,17,9,52,17.3333333333,6,2024-05-15
282,Drusy,25,30,22,77,25.6666666667,23,2024-10-01
283,Sheff,43,16,10,69,23,25,2024-02-01
284,Catrina,80,92,3,175,58.3333333333,14,2024-02-24
285,Chlo,78,95,3,176,58.6666666667,5,2024-10-17
286,Farand,77,92,67,236,78.6666666667,71,2024-01-25
287,Malia,54,45,22,121,40.3333333333,5,2024-10-15
288,Crawford,44,58,86,188,62.6666666667,81,2024-07-15
289,Roseanna,53,44,48,145,48.3333333333,85,2024-03-23
290,Bjorn,69,42,55,166,55.3333333333,71,2024-06-07
291,Grissel,55,31,34,120,40,38,2024-06-18
292,Natassia,48,37,59,144,48,6,2023-12-16
293,Daphna,91,39,100,230,76.6666666667,9,2024-05-04
294,Shirleen,88,83,73,244,81.3333333333,98,2024-04-25
295,Willy,63,18,35,116,38.6666666667,81,2023-12-12
296,Rolph,19,22,37,78,26,23,2024-01-21
297,Bevon,77,91,26,194,64.6666666667,79,2023-12-11
298,Fern,84,81,34,199,66.3333333333,1,2024-10-15
299,Griffie,1,2,47,50,16.6666666667,18,2023-12-31
300,Aeriela,5,56,2,63,21,96,2024-08-08
301,Haleigh,44,44,10,98,32.6666666667,77,2023-12-05
302,Ola,1,17,36,54,18,77,2024-07-05
303,Katie,52,91,75,218,72.6666666667,34,2024-04-06
304,Saundra,24,37,5,66,22,83,2024-06-18
305,Cass,52,86,79,217,72.3333333333,89,2024-07-12
306,Morna,76,34,31,141,47,18,2024-10-24
307,Aurlie,9,84,86,179,59.6666666667,44,2024-03-20
308,Paddy,61,67,99,227,75.6666666667,53,2024-01-21
309,Olvan,31,87,11,129,43,36,2024-07-27
310,Byrann,79,6,96,181,60.3333333333,26,2024-06-19
311,Viva,92,38,51,181,60.3333333333,54,2024-06-05
312,Marlin,98,23,11,132,44,39,2024-03-14
313,Barth,49,91,36,176,58.6666666667,79,2024-02-08
314,Kalli,62,26,93,181,60.3333333333,35,2024-03-15
315,Michael,93,80,32,205,68.3333333333,79,2023-11-11
316,Wain,36,65,45,146,48.6666666667,72,2024-07-01
317,Pippy,26,1,9,36,12,21,2024-09-15
318,Ailyn,63,98,60,221,73.6666666667,11,2024-08-28
319,Drucy,32,99,48,179,59.6666666667,74,2024-06-21
320,Ainslie,45,86,26,157,52.3333333333,23,2024-02-06
321,Averyl,31,50,51,132,44,71,2023-12-17
322,Fabe,56,99,38,193,64.3333333333,55,2024-03-12
323,Deny,78,76,18,172,57.3333333333,18,2024-02-25
324,Taddeusz,86,71,48,205,68.3333333333,65,2024-01-12
325,Brande,77,29,69,175,58.3333333333,30,2023-11-07
326,Hamil,57,14,47,118,39.3333333333,52,2024-07-21
327,Lisha,14,49,38,101,33.6666666667,9,2024-09-29
328,Kassey,41,5,4,50,16.6666666667,19,2024-03-21
329,Winona,93,13,28,134,44.6666666667,43,2024-06-30
330,Ailene,29,74,72,175,58.3333333333,62,2024-10-07
331,Doreen,77,86,62,225,75,71,2024-04-01
332,Rhoda,1,20,42,63,21,58,2024-01-02
333,Jamill,69,26,53,148,49.3333333333,60,2024-08-24
334,Dasie,98,23,44,165,55,52,2024-08-14
335,Elihu,95,2,66,163,54.3333333333,1,2024-07-11
336,Lenna,28,73,83,184,61.3333333333,17,2024-04-11
337,Madel,75,53,45,173,57.6666666667,45,2024-10-21
338,Enrichetta,46,20,14,80,26.6666666667,15,2024-05-02
339,Bartram,24,59,69,152,50.6666666667,44,2023-11-08
340,Delia,60,12,35,107,35.6666666667,87,2024-08-19
341,Jenelle,34,99,49,182,60.6666666667,53,2024-06-10
342,Marje,10,71,91,172,57.3333333333,32,2024-01-29
343,Debbi,26,87,53,166,55.3333333333,78,2024-09-05
344,Reine,10,1,56,67,22.3333333333,43,2024-03-31
345,Clarette,8,89,36,133,44.3333333333,44,2024-05-11
346,Calypso,32,3,38,73,24.3333333333,46,2023-11-12
347,Cinderella,81,65,73,219,73,62,2024-09-17
348,Alfie,97,80,91,268,89.3333333333,99,2024-02-16
349,Lorelei,23,11,56,90,30,63,2024-03-03
350,Brucie,74,61,50,185,61.6666666667,8,2024-01-23
351,Sharia,4,45,66,115,38.3333333333,50,2024-04-15
352,Audie,11,72,54,137,45.6666666667,38,2024-10-10
353,Jonell,50,78,54,182,60.6666666667,96,2024-09-25
354,Evangelin,8,40,63,111,37,45,2024-04-08
355,Rachelle,12,34,46,92,30.6666666667,54,2024-03-19
356,Lind,18,89,38,145,48.3333333333,36,2023-12-13
357,Giraud,22,49,81,152,50.6666666667,80,2024-05-17
358,Alexandro,26,69,45,140,46.6666666667,90,2024-05-06
359,Victor,40,71,13,124,41.3333333333,13,2024-04-04
360,Kailey,45,18,4,67,22.3333333333,13,2024-05-15
361,Jorie,61,26,21,108,36,14,2023-11-29
362,Seka,4,68,14,86,28.6666666667,58,2023-12-24
363,Florence,6,69,22,97,32.3333333333,44,2024-01-04
364,Eden,4,18,72,94,31.3333333333,5,2024-03-17
365,Staffard,69,36,9,114,38,94,2024-02-07
366,Aldric,50,72,84,206,68.6666666667,81,2023-12-26
367,Euell,23,7,46,76,25.3333333333,33,2024-06-08
368,Moira,12,64,7,83,27.6666666667,94,2024-10-24
369,Hannis,15,5,55,75,25,50,2024-05-14
370,Guenna,14,41,25,80,26.6666666667,78,2024-02-18
371,Shirl,4,53,46,103,34.3333333333,7,2023-11-29
372,Stu,54,12,90,156,52,97,2024-05-22
373,Rouvin,82,4,51,137,45.6666666667,27,2024-04-24
374,Kathi,70,19,45,134,44.6666666667,68,2024-02-18
375,Verile,27,55,97,179,59.6666666667,87,2024-11-01
376,Billie,46,55,58,159,53,21,2024-09-04
377,Lorelle,2,58,82,142,47.3333333333,16,2024-03-21
378,Philbert,2,18,86,106,35.3333333333,3,2024-08-18
379,Corny,61,32,49,142,47.3333333333,24,2023-12-09
380,Raviv,84,99,95,278,92.6666666667,48,2024-01-11
381,Sharona,26,61,17,104,34.6666666667,40,2024-11-01
382,Alyson,3,99,99,201,67,98,2024-10-15
383,Vera,82,65,19,166,55.3333333333,32,2024-06-24
384,Cacilia,70,98,87,255,85,33,2024-09-21
385,Hedwig,37,61,74,172,57.3333333333,9,2024-07-26
386,Therese,38,45,54,137,45.6666666667,69,2024-05-08
387,Lennie,53,97,69,219,73,69,2024-06-30
388,Hana,50,17,11,78,26,28,2023-12-19
389,Tabby,4,78,7,89,29.6666666667,25,2024-04-10
390,Nolana,70,6,74,150,50,46,2024-05-06
391,Murielle,6,17,16,39,13,60,2023-12-13
392,Quinta,27,13,23,63,21,9,2024-05-11
393,Lennard,11,22,64,97,32.3333333333,86,2024-06-04
394,Porter,26,65,49,140,46.6666666667,39,2024-08-23
395,Lilas,80,67,28,175,58.3333333333,16,2024-09-04
396,Meredithe,14,37,95,146,48.6666666667,12,2024-09-12
397,Gertrude,87,100,14,201,67,15,2024-08-31
398,Eliza,72,41,56,169,56.3333333333,53,2024-05-14
399,Milo,10,22,97,129,43,7,2024-03-12
400,Urban,53,38,76,167,55.6666666667,51,2024-10-20
401,Catarina,17,37,70,124,41.3333333333,79,2024-08-17
402,Freddi,57,100,67,224,74.6666666667,8,2024-02-16
403,Regina,10,87,59,156,52,78,2023-11-10
404,Lazarus,48,67,37,152,50.6666666667,98,2023-11-19
405,Daune,54,13,88,155,51.6666666667,37,2024-07-14
406,Danita,27,75,13,115,38.3333333333,29,2023-12-08
407,Linn,19,71,40,130,43.3333333333,60,2024-01-23
408,Stefano,76,94,1,171,57,41,2024-06-07
409,Karil,52,4,35,91,30.3333333333,70,2024-05-17
410,Lil,10,61,71,142,47.3333333333,48,2024-09-05
411,Hamlin,36,3,51,90,30,49,2023-12-06
412,Micaela,35,38,48,121,40.3333333333,89,2024-10-25
413,Scotti,71,30,99,200,66.6666666667,13,2024-01-05
414,Ade,53,17,73,143,47.6666666667,80,2024-01-03
415,Brucie,22,93,51,166,55.3333333333,46,2024-10-31
416,Jilli,89,100,19,208,69.3333333333,76,2024-09-03
417,Hatty,39,93,23,155,51.6666666667,14,2024-09-26
418,Guido,94,34,23,151,50.3333333333,79,2024-02-27
419,Anastasie,34,25,28,87,29,18,2024-03-09
420,Pavia,54,69,42,165,55,45,2024-10-21
421,Bruis,16,30,99,145,48.3333333333,61,2023-11-07
422,Denyse,60,35,42,137,45.6666666667,100,2023-11-09
423,Rubetta,73,36,11,120,40,47,2024-05-30
424,Rancell,12,55,58,125,41.6666666667,21,2024-08-06
425,Dominic,41,51,76,168,56,77,2024-09-15
426,Elmer,90,70,94,254,84.6666666667,29,2024-10-12
427,Rudolf,97,47,42,186,62,46,2024-07-31
428,Uriel,86,47,4,137,45.6666666667,12,2024-09-25
429,Brett,64,63,39,166,55.3333333333,61,2024-01-19
430,Filberto,34,44,38,116,38.6666666667,45,2024-09-24
431,Harmony,50,72,71,193,64.3333333333,59,2024-07-16
432,Dani,100,10,82,192,64,13,2024-01-13
433,Loren,57,43,45,145,48.3333333333,37,2024-02-03
434,Mendel,45,3,2,50,16.6666666667,89,2024-04-08
435,Dael,29,51,2,82,27.3333333333,42,2024-06-25
436,Etan,19,99,17,135,45,88,2024-10-24
437,Evin,39,92,48,179,59.6666666667,35,2023-12-15
438,Gian,5,70,52,127,42.3333333333,83,2024-03-08
439,Rab,29,38,49,116,38.6666666667,78,2023-12-06
440,Maybelle,97,5,97,199,66.3333333333,5,2024-10-12
441,Bertrando,32,98,80,210,70,5,2023-12-27
442,Allene,93,29,90,212,70.6666666667,42,2024-05-18
443,Philis,23,12,90,125,41.6666666667,4,2024-06-16
444,Ezekiel,40,66,24,130,43.3333333333,50,2024-06-10
445,Ginger,36,21,69,126,42,62,2024-04-30
446,Ashley,24,38,17,79,26.3333333333,47,2024-07-05
447,Elihu,44,35,80,159,53,91,2024-05-24
448,Joela,83,99,95,277,92.3333333333,1,2024-08-21
449,Trenton,16,75,9,100,33.3333333333,96,2023-12-10
450,Sayers,39,18,86,143,47.6666666667,24,2023-12-22
451,Carrissa,88,77,99,264,88,77,2024-05-25
452,Wallie,80,66,98,244,81.3333333333,45,2024-05-16
453,Ingmar,59,48,42,149,49.6666666667,35,2024-09-01
454,Kendal,88,74,17,179,59.6666666667,26,2023-11-12
455,Obadias,42,23,94,159,53,45,2024-05-20
456,Georgena,86,67,26,179,59.6666666667,51,2024-04-24
457,Claudia,93,99,39,231,77,37,2024-09-03
458,Harli,77,17,78,172,57.3333333333,59,2024-05-23
459,Hillyer,69,84,74,227,75.6666666667,60,2024-09-13
460,Nobie,78,29,70,177,59,84,2024-02-16
461,Deeann,63,80,77,220,73.3333333333,38,2024-07-26
462,Joyous,74,65,1,140,46.6666666667,99,2024-03-19
463,Bogart,6,37,79,122,40.6666666667,86,2023-12-24
464,Benni,26,41,21,88,29.3333333333,24,2024-05-24
465,Alfredo,20,1,31,52,17.3333333333,39,2024-04-21
466,Valeria,30,13,45,88,29.3333333333,42,2024-09-03
467,Francene,86,76,8,170,56.6666666667,17,2024-01-22
468,Erich,37,32,71,140,46.6666666667,44,2024-03-22
469,Charlena,52,84,78,214,71.3333333333,61,2024-10-28
470,Khalil,29,56,54,139,46.3333333333,57,2024-07-17
471,Neely,8,60,78,146,48.6666666667,93,2024-10-18
472,Bobbette,97,75,24,196,65.3333333333,63,2023-11-08
473,Valene,32,79,28,139,46.3333333333,42,2024-02-28
